__time,__datetime,__type,/hamster2/velocity/data
1677685722.486344,2023-03-01 16:48:42.486344,std_msgs/Float32,-735.5941162109375
1677685722.5066423,2023-03-01 16:48:42.506642,std_msgs/Float32,-692.4730834960938
1677685722.5288837,2023-03-01 16:48:42.528884,std_msgs/Float32,-720.3749389648438
1677685722.549377,2023-03-01 16:48:42.549377,std_msgs/Float32,-682.7880859375
1677685722.5709724,2023-03-01 16:48:42.570972,std_msgs/Float32,-710.2288208007812
1677685722.5914118,2023-03-01 16:48:42.591412,std_msgs/Float32,-684.8634643554688
1677685722.613871,2023-03-01 16:48:42.613871,std_msgs/Float32,-720.3749389648438
1677685722.6357243,2023-03-01 16:48:42.635724,std_msgs/Float32,-673.1032104492188
1677685722.6558063,2023-03-01 16:48:42.655806,std_msgs/Float32,-705.15576171875
1677685722.6779106,2023-03-01 16:48:42.677911,std_msgs/Float32,-677.9456787109375
1677685722.6992385,2023-03-01 16:48:42.699239,std_msgs/Float32,-725.447998046875
1677685722.7198403,2023-03-01 16:48:42.719840,std_msgs/Float32,-695.0095825195312
1677685722.7408643,2023-03-01 16:48:42.740864,std_msgs/Float32,-720.3749389648438
1677685722.7647824,2023-03-01 16:48:42.764782,std_msgs/Float32,-663.4182739257812
1677685722.7885945,2023-03-01 16:48:42.788594,std_msgs/Float32,-700.0826416015625
1677685722.8054981,2023-03-01 16:48:42.805498,std_msgs/Float32,-687.630615234375
1677685722.826756,2023-03-01 16:48:42.826756,std_msgs/Float32,-730.5210571289062
1677685722.8471956,2023-03-01 16:48:42.847196,std_msgs/Float32,-700.0826416015625
1677685722.8689237,2023-03-01 16:48:42.868924,std_msgs/Float32,-725.447998046875
1677685722.890235,2023-03-01 16:48:42.890235,std_msgs/Float32,-673.1032104492188
1677685722.9116201,2023-03-01 16:48:42.911620,std_msgs/Float32,-710.2288208007812
1677685722.9332864,2023-03-01 16:48:42.933286,std_msgs/Float32,-687.630615234375
1677685722.9548507,2023-03-01 16:48:42.954851,std_msgs/Float32,-710.2288208007812
1677685722.9758055,2023-03-01 16:48:42.975806,std_msgs/Float32,-674.7173461914062
1677685722.9964428,2023-03-01 16:48:42.996443,std_msgs/Float32,-710.2288208007812
1677685723.0182571,2023-03-01 16:48:43.018257,std_msgs/Float32,-687.630615234375
1677685723.0403512,2023-03-01 16:48:43.040351,std_msgs/Float32,-725.447998046875
1677685723.061142,2023-03-01 16:48:43.061142,std_msgs/Float32,-687.630615234375
1677685723.0826347,2023-03-01 16:48:43.082635,std_msgs/Float32,-710.2288208007812
1677685723.1034539,2023-03-01 16:48:43.103454,std_msgs/Float32,-674.7173461914062
1677685723.1244097,2023-03-01 16:48:43.124410,std_msgs/Float32,-715.3018188476562
1677685723.1466174,2023-03-01 16:48:43.146617,std_msgs/Float32,-692.4730834960938
1677685723.167465,2023-03-01 16:48:43.167465,std_msgs/Float32,-730.5210571289062
1677685723.1898563,2023-03-01 16:48:43.189856,std_msgs/Float32,-697.3155517578125
1677685723.2105198,2023-03-01 16:48:43.210520,std_msgs/Float32,-705.15576171875
1677685723.2350104,2023-03-01 16:48:43.235010,std_msgs/Float32,-679.7904052734375
1677685723.2534277,2023-03-01 16:48:43.253428,std_msgs/Float32,-715.3018188476562
1677685723.2738452,2023-03-01 16:48:43.273845,std_msgs/Float32,-673.1032104492188
1677685723.2953365,2023-03-01 16:48:43.295336,std_msgs/Float32,-710.2288208007812
1677685723.3168077,2023-03-01 16:48:43.316808,std_msgs/Float32,-682.7880859375
1677685723.3384259,2023-03-01 16:48:43.338426,std_msgs/Float32,-715.3018188476562
1677685723.360716,2023-03-01 16:48:43.360716,std_msgs/Float32,-689.9365844726562
1677685723.3801434,2023-03-01 16:48:43.380143,std_msgs/Float32,-720.3749389648438
1677685723.402603,2023-03-01 16:48:43.402603,std_msgs/Float32,-677.9456787109375
1677685723.4234822,2023-03-01 16:48:43.423482,std_msgs/Float32,-710.2288208007812
1677685723.444939,2023-03-01 16:48:43.444939,std_msgs/Float32,-677.9456787109375
1677685723.4687214,2023-03-01 16:48:43.468721,std_msgs/Float32,-730.5210571289062
1677685723.4876478,2023-03-01 16:48:43.487648,std_msgs/Float32,-705.15576171875
1677685723.509064,2023-03-01 16:48:43.509064,std_msgs/Float32,-730.5210571289062
1677685723.5296397,2023-03-01 16:48:43.529640,std_msgs/Float32,-682.7880859375
1677685723.5512633,2023-03-01 16:48:43.551263,std_msgs/Float32,-710.2288208007812
1677685723.5728126,2023-03-01 16:48:43.572813,std_msgs/Float32,-682.7880859375
1677685723.5941515,2023-03-01 16:48:43.594151,std_msgs/Float32,-715.3018188476562
1677685723.6146564,2023-03-01 16:48:43.614656,std_msgs/Float32,-689.9365844726562
1677685723.6366115,2023-03-01 16:48:43.636611,std_msgs/Float32,-720.3749389648438
1677685723.6588104,2023-03-01 16:48:43.658810,std_msgs/Float32,-668.2606811523438
1677685723.6808271,2023-03-01 16:48:43.680827,std_msgs/Float32,-715.3018188476562
1677685723.7011871,2023-03-01 16:48:43.701187,std_msgs/Float32,-697.3155517578125
1677685723.7221704,2023-03-01 16:48:43.722170,std_msgs/Float32,-730.5210571289062
1677685723.742759,2023-03-01 16:48:43.742759,std_msgs/Float32,-695.0095825195312
1677685723.7639248,2023-03-01 16:48:43.763925,std_msgs/Float32,-730.5210571289062
1677685723.7859104,2023-03-01 16:48:43.785910,std_msgs/Float32,-702.1580200195312
1677685723.806911,2023-03-01 16:48:43.806911,std_msgs/Float32,-740.6671752929688
1677685723.8288393,2023-03-01 16:48:43.828839,std_msgs/Float32,-707.00048828125
1677685723.8543458,2023-03-01 16:48:43.854346,std_msgs/Float32,-730.5210571289062
1677685723.871591,2023-03-01 16:48:43.871591,std_msgs/Float32,-684.8634643554688
1677685723.8918686,2023-03-01 16:48:43.891869,std_msgs/Float32,-710.2288208007812
1677685723.9135292,2023-03-01 16:48:43.913529,std_msgs/Float32,-687.630615234375
1677685723.9362319,2023-03-01 16:48:43.936232,std_msgs/Float32,-735.5941162109375
1677685723.9562004,2023-03-01 16:48:43.956200,std_msgs/Float32,-697.3155517578125
1677685723.9780896,2023-03-01 16:48:43.978090,std_msgs/Float32,-715.3018188476562
1677685723.9995093,2023-03-01 16:48:43.999509,std_msgs/Float32,-684.8634643554688
1677685724.021864,2023-03-01 16:48:44.021864,std_msgs/Float32,-720.3749389648438
1677685724.0412953,2023-03-01 16:48:44.041295,std_msgs/Float32,-692.4730834960938
1677685724.0628116,2023-03-01 16:48:44.062812,std_msgs/Float32,-730.5210571289062
1677685724.0846882,2023-03-01 16:48:44.084688,std_msgs/Float32,-692.4730834960938
1677685724.1061938,2023-03-01 16:48:44.106194,std_msgs/Float32,-705.15576171875
1677685724.1260922,2023-03-01 16:48:44.126092,std_msgs/Float32,-684.8634643554688
1677685724.1478047,2023-03-01 16:48:44.147805,std_msgs/Float32,-725.447998046875
1677685724.1698556,2023-03-01 16:48:44.169856,std_msgs/Float32,-682.7880859375
1677685724.190564,2023-03-01 16:48:44.190564,std_msgs/Float32,-715.3018188476562
1677685724.2138805,2023-03-01 16:48:44.213881,std_msgs/Float32,-682.7880859375
1677685724.2334785,2023-03-01 16:48:44.233479,std_msgs/Float32,-720.3749389648438
1677685724.2540922,2023-03-01 16:48:44.254092,std_msgs/Float32,-695.0095825195312
1677685724.275604,2023-03-01 16:48:44.275604,std_msgs/Float32,-730.5210571289062
1677685724.2969108,2023-03-01 16:48:44.296911,std_msgs/Float32,-687.630615234375
1677685724.3198564,2023-03-01 16:48:44.319856,std_msgs/Float32,-710.2288208007812
1677685724.3424222,2023-03-01 16:48:44.342422,std_msgs/Float32,-677.9456787109375
1677685724.3614132,2023-03-01 16:48:44.361413,std_msgs/Float32,-720.3749389648438
1677685724.3818283,2023-03-01 16:48:44.381828,std_msgs/Float32,-684.8634643554688
1677685724.4054177,2023-03-01 16:48:44.405418,std_msgs/Float32,-715.3018188476562
1677685724.4249039,2023-03-01 16:48:44.424904,std_msgs/Float32,-668.2606811523438
1677685724.446734,2023-03-01 16:48:44.446734,std_msgs/Float32,-710.2288208007812
1677685724.4693305,2023-03-01 16:48:44.469331,std_msgs/Float32,-687.630615234375
1677685724.4894583,2023-03-01 16:48:44.489458,std_msgs/Float32,-720.3749389648438
1677685724.5098095,2023-03-01 16:48:44.509809,std_msgs/Float32,-679.7904052734375
1677685724.531282,2023-03-01 16:48:44.531282,std_msgs/Float32,-720.3749389648438
1677685724.5538466,2023-03-01 16:48:44.553847,std_msgs/Float32,-673.1032104492188
1677685724.5751252,2023-03-01 16:48:44.575125,std_msgs/Float32,-725.447998046875
1677685724.5958228,2023-03-01 16:48:44.595823,std_msgs/Float32,-697.3155517578125
1677685724.622598,2023-03-01 16:48:44.622598,std_msgs/Float32,-720.3749389648438
1677685724.6383278,2023-03-01 16:48:44.638328,std_msgs/Float32,-674.7173461914062
1677685724.660585,2023-03-01 16:48:44.660585,std_msgs/Float32,-700.0826416015625
1677685724.680698,2023-03-01 16:48:44.680698,std_msgs/Float32,-673.1032104492188
1677685724.7022989,2023-03-01 16:48:44.702299,std_msgs/Float32,-725.447998046875
1677685724.7238505,2023-03-01 16:48:44.723850,std_msgs/Float32,-687.630615234375
1677685724.7450967,2023-03-01 16:48:44.745097,std_msgs/Float32,-720.3749389648438
1677685724.7656157,2023-03-01 16:48:44.765616,std_msgs/Float32,-684.8634643554688
1677685724.7872021,2023-03-01 16:48:44.787202,std_msgs/Float32,-715.3018188476562
1677685724.809398,2023-03-01 16:48:44.809398,std_msgs/Float32,-692.4730834960938
1677685724.830061,2023-03-01 16:48:44.830061,std_msgs/Float32,-725.447998046875
1677685724.851637,2023-03-01 16:48:44.851637,std_msgs/Float32,-692.4730834960938
1677685724.8732567,2023-03-01 16:48:44.873257,std_msgs/Float32,-705.15576171875
1677685724.8938823,2023-03-01 16:48:44.893882,std_msgs/Float32,-679.7904052734375
1677685724.9151506,2023-03-01 16:48:44.915151,std_msgs/Float32,-725.447998046875
1677685724.9365976,2023-03-01 16:48:44.936598,std_msgs/Float32,-697.3155517578125
1677685724.9587517,2023-03-01 16:48:44.958752,std_msgs/Float32,-725.447998046875
1677685724.980066,2023-03-01 16:48:44.980066,std_msgs/Float32,-692.4730834960938
1677685725.000767,2023-03-01 16:48:45.000767,std_msgs/Float32,-715.3018188476562
1677685725.0214188,2023-03-01 16:48:45.021419,std_msgs/Float32,-689.9365844726562
1677685725.0466866,2023-03-01 16:48:45.046687,std_msgs/Float32,-730.5210571289062
1677685725.0664852,2023-03-01 16:48:45.066485,std_msgs/Float32,-692.4730834960938
1677685725.0859756,2023-03-01 16:48:45.085976,std_msgs/Float32,-725.447998046875
1677685725.108725,2023-03-01 16:48:45.108725,std_msgs/Float32,-682.7880859375
1677685725.130973,2023-03-01 16:48:45.130973,std_msgs/Float32,-725.447998046875
1677685725.149256,2023-03-01 16:48:45.149256,std_msgs/Float32,-689.9365844726562
1677685725.1708684,2023-03-01 16:48:45.170868,std_msgs/Float32,-720.3749389648438
1677685725.192336,2023-03-01 16:48:45.192336,std_msgs/Float32,-673.1032104492188
1677685725.2162898,2023-03-01 16:48:45.216290,std_msgs/Float32,-720.3749389648438
1677685725.2365236,2023-03-01 16:48:45.236524,std_msgs/Float32,-692.4730834960938
1677685725.2578058,2023-03-01 16:48:45.257806,std_msgs/Float32,-720.3749389648438
1677685725.277264,2023-03-01 16:48:45.277264,std_msgs/Float32,-674.7173461914062
1677685725.3015409,2023-03-01 16:48:45.301541,std_msgs/Float32,-700.0826416015625
1677685725.32053,2023-03-01 16:48:45.320530,std_msgs/Float32,-653.7332763671875
1677685725.3420236,2023-03-01 16:48:45.342024,std_msgs/Float32,-705.15576171875
1677685725.3647654,2023-03-01 16:48:45.364765,std_msgs/Float32,-692.4730834960938
1677685725.3866818,2023-03-01 16:48:45.386682,std_msgs/Float32,-720.3749389648438
1677685725.405364,2023-03-01 16:48:45.405364,std_msgs/Float32,-679.7904052734375
1677685725.4266248,2023-03-01 16:48:45.426625,std_msgs/Float32,-705.15576171875
1677685725.4482832,2023-03-01 16:48:45.448283,std_msgs/Float32,-668.2606811523438
1677685725.4695387,2023-03-01 16:48:45.469539,std_msgs/Float32,-705.15576171875
1677685725.4912977,2023-03-01 16:48:45.491298,std_msgs/Float32,-682.7880859375
1677685725.5130036,2023-03-01 16:48:45.513004,std_msgs/Float32,-720.3749389648438
1677685725.5345938,2023-03-01 16:48:45.534594,std_msgs/Float32,-684.8634643554688
1677685725.5543947,2023-03-01 16:48:45.554395,std_msgs/Float32,-700.0826416015625
1677685725.576036,2023-03-01 16:48:45.576036,std_msgs/Float32,-682.7880859375
