__time,/hamster2/imu/header.stamp,/hamster2/command/drive.steering_angle,/hamster2/command/drive.speed,/hamster2/imu/angular_velocity.x,/hamster2/imu/angular_velocity.y,/hamster2/imu/angular_velocity.z,/hamster2/imu/linear_acceleration.x,/hamster2/imu/linear_acceleration.y,/hamster2/imu/linear_acceleration.z
1677685712.4869742,1677685712.4674177,,,0.310668617,-1.204277158,-0.027925268,-0.480525851,-9.473223686,0.451105893
1677685712.4899368,1677685712.4724157,,,0.558505356,-1.192059875,0.027925268,-0.480525851,-9.473223686,0.451105893
1677685712.4904008,1677685712.4774132,,,0.624827862,-1.221730471,0.04712389,-0.480525851,-9.473223686,0.451105893
1677685712.4868598,1677685712.4787145,12.28796196,0.743310928,,,,,,
1677685712.490705,1677685712.4824116,,,0.612610579,-1.211258531,0.130899698,-0.480525851,-9.473223686,0.451105893
1677685712.4910011,1677685712.4874089,,,0.474729538,-1.239183784,0.211184844,0.147099748,-4.481638908,0.00980665
1677685712.4925678,1677685712.4924073,,,0.233874112,-1.211258531,0.244346097,0.147099748,-4.481638908,0.00980665
1677685712.4979074,1677685712.4974046,,,-0.050614547,-1.146681309,0.282743335,1.216024518,-4.412992477,0.30400613
1677685712.499421,1677685712.4986813,12.28796196,0.743310928,,,,,,
1677685712.5030737,1677685712.502403,,,-0.239110112,-1.136209369,0.230383456,1.216024518,-4.412992477,0.30400613
1677685712.5083866,1677685712.5074008,,,-0.371755123,-1.04719758,0.143116996,1.22583127,-9.061344147,0.804145277
1677685712.5130532,1677685712.512399,,,-0.392699093,-0.998328328,0.055850536,1.22583127,-9.061344147,0.804145277
1677685712.5180435,1677685712.5173962,,,-0.277507335,-0.958185732,0.041887902,0.205939651,-13.12129784,0.745305359
1677685712.5196064,1677685712.5187304,9.01173687,0.743310928,,,,,,
1677685712.5239618,1677685712.522395,,,-0.193731546,-0.907571197,-0.036651913,0.205939651,-13.12129784,0.745305359
1677685712.5282362,1677685712.527392,,,-0.04363323,-0.932005823,-0.061086524,-1.22583127,-12.7388382,0.490332484
1677685712.5332556,1677685712.5323904,,,0.115191728,-0.902335227,-0.003490658,-1.22583127,-12.7388382,0.490332484
1677685712.5379136,1677685712.5373888,,,0.16406095,-0.938987136,-0.116937056,-1.657323837,-9.96355629,1.059118152
1677685712.5396945,1677685712.538721,13.73794556,0.733184218,,,,,,
1677685712.5432327,1677685712.5423863,,,0.244346097,-0.933751166,-0.059341192,-1.657323837,-9.96355629,1.059118152
1677685712.5477386,1677685712.5473847,,,0.218166158,-0.928515136,-0.036651913,-0.941438377,-6.658715248,0.490332484
1677685712.553312,1677685712.5523822,,,0.141371667,-0.923279166,0.001745329,-0.941438377,-6.658715248,0.490332484
1677685712.5577705,1677685712.5573804,,,0.101229094,-0.905825853,0.115191728,-0.421685934,-6.678328514,0.402072638
1677685712.5594237,1677685712.5587206,11.92713451,0.733184218,,,,,,
1677685712.5626729,1677685712.562378,,,-0.017453292,-0.925024509,0.064577185,-0.421685934,-6.678328514,0.402072638
1677685712.5680892,1677685712.5673761,,,-0.125663698,-0.930260479,0.083775803,-0.980664968,-9.590903282,0.529559076
1677685712.576327,1677685712.5723734,,,-0.202458188,-0.954695106,0.031415924,-0.980664968,-9.590903282,0.529559076
1677685712.5794308,1677685712.577372,,,-0.219911486,-1.040216208,-0.1134464,-1.941716671,-13.30762386,0.0196133
1677685712.5798967,1677685712.5787308,10.68904114,0.733184218,,,,,,
1677685712.5864022,1677685712.5823693,,,-0.219911486,-1.014036298,-0.055850536,-1.941716671,-13.30762386,0.0196133
1677685712.588906,1677685712.5873678,,,-0.162315622,-1.101302743,-0.099483766,-2.088816404,-13.7195034,-0.029419949
1677685712.5930367,1677685712.5923653,,,-0.036651913,-1.172861218,-0.07679449,-2.088816404,-13.7195034,-0.029419949
1677685712.5983968,1677685712.5973635,,,0,-1.171115875,-0.027925268,-1.706357002,-10.61079502,0.245166242
1677685712.6000867,1677685712.5987537,15.47894764,0.724421918,,,,,,
1677685712.6025434,1677685712.602362,,,0.094247781,-1.240929127,-0.083775803,-1.706357002,-10.61079502,0.245166242
1677685712.6084435,1677685712.6073594,,,0.115191728,-1.25838244,-0.033161256,-1.706357002,-10.61079502,0.245166242
1677685712.6127954,1677685712.6123576,,,0.038397245,-1.240929127,-0.033161256,-0.686465502,-6.442968845,0.264779538
1677685712.61821,1677685712.617355,,,-0.006981317,-1.219985127,0.024434609,0.343232751,-4.971971512,0.30400613
1677685712.6197007,1677685712.618875,14.70750618,0.724421918,,,,,,
1677685712.6225688,1677685712.6223533,,,-0.019198623,-1.178097248,0.094247781,0.343232751,-4.971971512,0.30400613
1677685712.628092,1677685712.6273518,,,-0.064577185,-1.120501399,0.193731546,0.81395191,-8.286619186,0.402072638
1677685712.6332662,1677685712.6323493,,,-0.031415924,-1.043706894,0.310668617,0.81395191,-8.286619186,0.402072638
1677685712.638534,1677685712.6373477,,,0.055850536,-0.973893702,0.329867214,0.657045543,-13.59201622,0.696272135
1677685712.6395154,1677685712.6387398,18.59770584,0.717414021,,,,,,
1677685712.6422615,1677685712.642345,,,0.097738437,-0.968657732,0.345575184,0.657045543,-13.59201622,0.696272135
1677685712.6476696,1677685712.6473434,,,0.167551607,-1.003564358,0.342084527,-0.706078768,-14.72958755,0.294199497
1677685712.6526885,1677685712.6523407,,,0.195476875,-1.014036298,0.242600769,-0.706078768,-14.72958755,0.294199497
